TimeGenerated [UTC],DeviceName,ActionType,LocalIP,LocalPort,RemoteIP,RemotePort,InitiatingProcessFileName,failed_connections
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58448,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58449,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58450,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58451,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:04:36.128 AM",felix-win10,ConnectionFailed,10.0.0.121,58481,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:04:36.128 AM",felix-win10,ConnectionFailed,10.0.0.121,58482,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:07:45.281 AM",felix-win10,ConnectionFailed,10.0.0.121,58579,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:07:45.282 AM",felix-win10,ConnectionFailed,10.0.0.121,58580,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:08:36.627 AM",felix-win10,ConnectionFailed,10.0.0.121,58612,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:09:21.543 AM",felix-win10,ConnectionFailed,10.0.0.121,58637,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:11:45.737 AM",felix-win10,ConnectionFailed,10.0.0.121,58712,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:11:45.737 AM",felix-win10,ConnectionFailed,10.0.0.121,58713,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:12:20.564 AM",felix-win10,ConnectionFailed,10.0.0.121,58735,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 1:15:27.458 AM",felix-win10,ConnectionFailed,10.0.0.121,58881,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58905,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58907,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58909,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:23:46.735 AM",felix-win10,ConnectionFailed,10.0.0.121,59292,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:23:46.735 AM",felix-win10,ConnectionFailed,10.0.0.121,59293,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:24:21.658 AM",felix-win10,ConnectionFailed,10.0.0.121,59311,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:29:48.720 AM",felix-win10,ConnectionFailed,10.0.0.121,59462,REDACTED IP,80,msedge.exe,1
"4/3/2025, 1:29:48.720 AM",felix-win10,ConnectionFailed,10.0.0.121,59463,REDACTED IP,80,msedge.exe,1
"4/3/2025, 1:39:21.790 AM",felix-win10,ConnectionFailed,10.0.0.121,59745,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:41:36.080 AM",felix-win10,ConnectionFailed,10.0.0.121,59813,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:45:27.687 AM",felix-win10,ConnectionFailed,10.0.0.121,59918,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:45:36.189 AM",felix-win10,ConnectionFailed,10.0.0.121,59920,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:47:45.733 AM",felix-win10,ConnectionFailed,10.0.0.121,59984,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:48:57.385 AM",felix-win10,ConnectionFailed,10.0.0.121,60020,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 1:54:21.955 AM",felix-win10,ConnectionFailed,10.0.0.121,60197,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:00:27.789 AM",felix-win10,ConnectionFailed,10.0.0.121,60365,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:02:45.892 AM",felix-win10,ConnectionFailed,10.0.0.121,60430,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:06:16.732 AM",felix-win10,ConnectionFailed,10.0.0.121,60532,REDACTED IP,80,svchost.exe,1
"4/3/2025, 2:10:48.627 AM",felix-win10,ConnectionFailed,10.0.0.121,60690,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:15:27.913 AM",felix-win10,ConnectionFailed,10.0.0.121,60845,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:24:22.230 AM",felix-win10,ConnectionFailed,10.0.0.121,61312,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61369,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61370,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61371,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61372,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.392 AM",felix-win10,ConnectionFailed,10.0.0.121,61373,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:30:28.011 AM",felix-win10,ConnectionFailed,10.0.0.121,61493,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:32:46.215 AM",felix-win10,ConnectionFailed,10.0.0.121,61552,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:39:49.011 AM",felix-win10,ConnectionFailed,10.0.0.121,61754,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:41:02.139 AM",felix-win10,ConnectionFailed,10.0.0.121,61788,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:09.162 AM",felix-win10,ConnectionFailed,10.0.0.121,61970,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:13.287 AM",felix-win10,ConnectionFailed,10.0.0.121,62004,REDACTED IP,443,wermgr.exe,1
"4/3/2025, 2:41:14.173 AM",felix-win10,ConnectionFailed,10.0.0.121,62010,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:14.272 AM",felix-win10,ConnectionFailed,10.0.0.121,62013,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:42:14.486 AM",felix-win10,ConnectionFailed,10.0.0.121,62176,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:46:17.696 AM",felix-win10,ConnectionFailed,10.0.0.121,62288,REDACTED IP,80,svchost.exe,1
"4/3/2025, 2:47:27.494 AM",felix-win10,ConnectionFailed,10.0.0.121,62323,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:47:46.380 AM",felix-win10,ConnectionFailed,10.0.0.121,62332,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:47:51.598 AM",felix-win10,ConnectionFailed,10.0.0.121,62337,REDACTED IP,443,powershell.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62525,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62526,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62527,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62528,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62529,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62530,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62531,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62532,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:57:14.237 AM",felix-win10,ConnectionFailed,10.0.0.121,62600,REDACTED IP,80,svchost.exe,1
"4/3/2025, 3:01:14.620 AM",felix-win10,ConnectionFailed,10.0.0.121,62716,REDACTED IP,80,svchost.exe,1
"4/3/2025, 3:02:46.539 AM",felix-win10,ConnectionFailed,10.0.0.121,62757,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:09:22.613 AM",felix-win10,ConnectionFailed,10.0.0.121,62952,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:11:56.673 AM",felix-win10,ConnectionFailed,10.0.0.121,63033,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 3:17:46.701 AM",felix-win10,ConnectionFailed,10.0.0.121,63208,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:24:22.740 AM",felix-win10,ConnectionFailed,10.0.0.121,63386,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:39:22.901 AM",felix-win10,ConnectionFailed,10.0.0.121,63814,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:43:09.318 AM",felix-win10,ConnectionFailed,10.0.0.121,63919,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 3:44:46.274 AM",felix-win10,ConnectionFailed,10.0.0.121,63963,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.276 AM",felix-win10,ConnectionFailed,10.0.0.121,63964,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63965,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63966,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63967,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63968,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63969,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:44:46.277 AM",felix-win10,ConnectionFailed,10.0.0.121,63970,REDACTED IP,443,msedge.exe,1
"4/3/2025, 3:45:21.534 AM",felix-win10,ConnectionFailed,10.0.0.121,63991,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 3:47:47.034 AM",felix-win10,ConnectionFailed,10.0.0.121,64054,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:54:23.009 AM",felix-win10,ConnectionFailed,10.0.0.121,64231,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:00:28.665 AM",felix-win10,ConnectionFailed,10.0.0.121,64451,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:02:47.202 AM",felix-win10,ConnectionFailed,10.0.0.121,64590,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:15:28.775 AM",felix-win10,ConnectionFailed,10.0.0.121,65021,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:17:47.371 AM",felix-win10,ConnectionFailed,10.0.0.121,65087,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:18:10.312 AM",felix-win10,ConnectionFailed,10.0.0.121,65098,REDACTED IP,443,compattelrunner.exe,1
"4/3/2025, 4:18:25.043 AM",felix-win10,ConnectionFailed,10.0.0.121,65108,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:18:25.043 AM",felix-win10,ConnectionFailed,10.0.0.121,65109,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:19:45.306 AM",felix-win10,ConnectionFailed,10.0.0.121,65209,REDACTED IP,443,compattelrunner.exe,1
"4/3/2025, 4:19:55.354 AM",felix-win10,ConnectionFailed,10.0.0.121,65221,REDACTED IP,443,compattelrunner.exe,1
"4/3/2025, 4:19:56.700 AM",felix-win10,ConnectionFailed,10.0.0.121,65224,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 4:24:23.266 AM",felix-win10,ConnectionFailed,10.0.0.121,65347,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:30:28.872 AM",felix-win10,ConnectionFailed,10.0.0.121,49153,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:35:09.565 AM",felix-win10,ConnectionFailed,10.0.0.121,49291,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 4:41:15.232 AM",felix-win10,ConnectionFailed,10.0.0.121,49451,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:41:15.232 AM",felix-win10,ConnectionFailed,10.0.0.121,49452,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:41:34.588 AM",felix-win10,ConnectionFailed,10.0.0.121,49532,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:45:25.016 AM",felix-win10,ConnectionFailed,10.0.0.121,50005,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:45:25.016 AM",felix-win10,ConnectionFailed,10.0.0.121,50006,REDACTED IP,80,svchost.exe,1
"4/3/2025, 4:47:47.725 AM",felix-win10,ConnectionFailed,10.0.0.121,50072,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:49:46.567 AM",felix-win10,ConnectionFailed,10.0.0.121,50125,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.567 AM",felix-win10,ConnectionFailed,10.0.0.121,50126,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.567 AM",felix-win10,ConnectionFailed,10.0.0.121,50127,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.567 AM",felix-win10,ConnectionFailed,10.0.0.121,50128,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.567 AM",felix-win10,ConnectionFailed,10.0.0.121,50129,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.568 AM",felix-win10,ConnectionFailed,10.0.0.121,50131,REDACTED IP,443,msedge.exe,1
"4/3/2025, 4:49:46.568 AM",felix-win10,ConnectionFailed,10.0.0.121,50132,REDACTED IP,443,msedge.exe,1
